Item,Description,Price,Category,Restaurant,Location,Rating,Is_Vegetarian,Discount,Tags
Egg Roll (Kolkata Style),Paratha wrapped around a filling of egg onions and sauces,70,Snack,Roll Raja,Kolkata,4.6,Non-Veg,0,"non-veg,snack,roll,kolkata_style,street_food,egg,quick_meal,popular"
Chicken Roll (Kolkata Style),Paratha wrapped around a filling of chicken onions and sauces,100,Snack,Roll Raja,Kolkata,4.7,Non-Veg,5,"non-veg,snack,roll,kolkata_style,street_food,chicken,quick_meal,popular,filling"
Paneer Roll (Kolkata Style),Paratha wrapped around a filling of paneer onions and sauces,90,Snack,Roll Raja,Kolkata,4.5,Veg,0,"veg,snack,roll,kolkata_style,street_food,paneer,quick_meal,popular,filling"
Vegetable Spring Roll (4 pcs),Crispy rolls filled with stir-fried vegetables,120,Snack,Dragon's Wok,Kolkata,4.3,Veg,0,"veg,snack,chinese,indo-chinese,fried,crispy,vegetable,spring_roll,appetizer,party_food"
Chicken Spring Roll (4 pcs),Crispy rolls filled with shredded chicken and vegetables,150,Snack,Dragon's Wok,Kolkata,4.4,Non-Veg,0,"non-veg,snack,chinese,indo-chinese,fried,crispy,chicken,spring_roll,appetizer,party_food"
French Fries,Classic salted potato fries,100,Snack,Cafe Central,Kolkata,4.1,Veg,0,"veg,snack,potato,fries,side_dish,classic,kids_favorite,quick_bite"
Paneer Tikka,Cubes of paneer marinated in spices and grilled in a tandoor,280,Starter,Tandoor Delights,Kolkata,4.6,Veg,10,"veg,starter,paneer,tandoori,grilled,indian,appetizer,smoky,healthy_option,popular"
Chicken Tikka,Boneless chicken pieces marinated in yogurt and spices grilled,350,Starter,Tandoor Delights,Kolkata,4.8,Non-Veg,5,"non-veg,starter,chicken,tandoori,grilled,indian,appetizer,smoky,popular,protein_rich"
Mutton Seekh Kebab,Minced mutton mixed with spices skewered and grilled,400,Starter,Tandoor Delights,Kolkata,4.7,Non-Veg,0,"non-veg,starter,mutton,kebab,tandoori,grilled,indian,appetizer,smoky,spicy_medium,popular"
Hara Bhara Kebab,Spiced patties made with spinach peas and potatoes,250,Starter,Tandoor Delights,Kolkata,4.4,Veg,0,"veg,starter,kebab,indian,appetizer,spinach,peas,healthy_option,vegetarian_patty"
Fish Tikka (Bekti),Cubes of Bekti fish marinated and grilled,380,Starter,Tandoor Delights,Kolkata,4.6,Non-Veg,0,"non-veg,starter,fish,bekti,tandoori,grilled,indian,appetizer,smoky,seafood"
Tandoori Chicken (Half),Chicken marinated in yogurt and spices cooked in a tandoor,300,Starter,Mughlai Dastarkhwan,Kolkata,4.5,Non-Veg,10,"non-veg,starter,chicken,tandoori,mughlai,indian,appetizer,smoky,classic,protein_rich"
Tandoori Chicken (Full),Whole chicken marinated and tandoor-cooked,550,Starter,Mughlai Dastarkhwan,Kolkata,4.6,Non-Veg,5,"non-veg,starter,chicken,tandoori,mughlai,indian,family_meal,party_food,smoky,classic,protein_rich"
Chilli Paneer Dry,Cubes of paneer tossed in a spicy Indo-Chinese sauce,290,Starter,Dragon's Wok,Kolkata,4.5,Veg,0,"veg,starter,paneer,chinese,indo-chinese,spicy,dry,appetizer,popular,party_food"
Chilli Chicken Dry,Diced chicken tossed in a spicy Indo-Chinese sauce,330,Starter,Dragon's Wok,Kolkata,4.7,Non-Veg,0,"non-veg,starter,chicken,chinese,indo-chinese,spicy,dry,appetizer,popular,party_food"
Dahi Kebab,Yogurt patties mixed with spices and shallow fried,260,Starter,The Royal Platter,Kolkata,4.3,Veg,5,"veg,starter,kebab,indian,appetizer,yogurt,soft,creamy,delicate"
Tandoori Roti,Whole wheat bread baked in a clay oven,30,Bread,The Royal Platter,Kolkata,4.5,Veg,0,"veg,bread,indian,tandoori,roti,whole_wheat,healthy_option,classic"
Butter Naan,Soft leavened bread with butter baked in tandoor,50,Bread,The Royal Platter,Kolkata,4.7,Veg,0,"veg,bread,indian,tandoori,naan,butter,soft,popular,classic"
Garlic Naan,Naan bread flavored with garlic and butter,60,Bread,The Royal Platter,Kolkata,4.6,Veg,0,"veg,bread,indian,tandoori,naan,garlic,butter,soft,popular,flavorful"
Plain Naan,Soft leavened bread baked in tandoor,40,Bread,The Royal Platter,Kolkata,4.5,Veg,0,"veg,bread,indian,tandoori,naan,soft,classic"
Lachha Paratha,Layered whole wheat bread crispy and flaky,55,Bread,Mughlai Dastarkhwan,Kolkata,4.4,Veg,0,"veg,bread,indian,paratha,layered,crispy,flaky,whole_wheat"
Aloo Paratha,Whole wheat bread stuffed with spiced mashed potatoes,70,Bread,Paratha Paradise,Kolkata,4.3,Veg,0,"veg,bread,indian,paratha,stuffed,potato,breakfast,filling,comfort_food"
Gobi Paratha,Whole wheat bread stuffed with spiced cauliflower,75,Bread,Paratha Paradise,Kolkata,4.2,Veg,0,"veg,bread,indian,paratha,stuffed,cauliflower,breakfast,filling"
Plain Kulcha,Soft leavened Indian flatbread,45,Bread,Mughlai Dastarkhwan,Kolkata,4.3,Veg,0,"veg,bread,indian,kulcha,soft,leavened"
Masala Kulcha,Kulcha stuffed with a spicy mixed vegetable filling,65,Bread,Mughlai Dastarkhwan,Kolkata,4.4,Veg,5,"veg,bread,indian,kulcha,stuffed,spicy,vegetable,flavorful"
Roomali Roti,Thin soft handkerchief-like bread,40,Bread,Mughlai Dastarkhwan,Kolkata,4.6,Veg,0,"veg,bread,indian,roti,thin,soft,mughlai,delicate"
Puri (4 pcs),Deep-fried puffed whole wheat bread,60,Bread,Taste of Bengal,Kolkata,4.2,Veg,0,"veg,bread,indian,fried,puffed,puri,breakfast,traditional"
Bhatura (2 pcs),Large fluffy deep-fried leavened bread,70,Bread,Quick Bites,Kolkata,4.1,Veg,0,"veg,bread,indian,fried,puffed,bhatura,leavened,chole_bhature_pairing"
Steamed Rice,Plain boiled basmati rice,120,Accompaniment,The Royal Platter,Kolkata,4.5,Veg,0,"veg,accompaniment,rice,steamed,plain,basmati,side_dish,healthy_option,classic"
Jeera Rice,Basmati rice tempered with cumin seeds,150,Accompaniment,The Royal Platter,Kolkata,4.6,Veg,0,"veg,accompaniment,rice,jeera,basmati,side_dish,flavorful,indian"
Green Salad,Freshly sliced cucumber tomatoes onions carrots,100,Accompaniment,The Royal Platter,Kolkata,4.3,Veg,0,"veg,accompaniment,salad,fresh,healthy,raw_vegetable,side_dish,light"
Onion Salad,Sliced onions with lemon and green chillies,50,Accompaniment,The Royal Platter,Kolkata,4.2,Veg,0,"veg,accompaniment,salad,onion,raw,side_dish,simple"
Boondi Raita,Yogurt with tiny fried gram flour balls (boondi) and spices,90,Accompaniment,The Royal Platter,Kolkata,4.4,Veg,0,"veg,accompaniment,raita,yogurt,boondi,indian,cooling,side_dish,biryani_pairing"
Mixed Vegetable Raita,Yogurt with chopped vegetables and spices,100,Accompaniment,The Royal Platter,Kolkata,4.3,Veg,0,"veg,accompaniment,raita,yogurt,vegetable,indian,cooling,side_dish,healthy"
Pineapple Raita,Yogurt with pineapple chunks sweet and savory,110,Accompaniment,The Royal Platter,Kolkata,4.5,Veg,5,"veg,accompaniment,raita,yogurt,pineapple,indian,cooling,side_dish,sweet_savory,fruit"
Roasted Papad (2 pcs),Thin crispy lentil wafers roasted,40,Accompaniment,Taste of Bengal,Kolkata,4.1,Veg,0,"veg,accompaniment,papad,roasted,crispy,indian,side_dish,appetizer,light"
Fried Papad (2 pcs),Thin crispy lentil wafers deep-fried,50,Accompaniment,Taste of Bengal,Kolkata,4.0,Veg,0,"veg,accompaniment,papad,fried,crispy,indian,side_dish,appetizer"
Masala Papad (1 pc),Fried papad topped with chopped onions tomatoes and spices,60,Accompaniment,Taste of Bengal,Kolkata,4.3,Veg,0,"veg,accompaniment,papad,fried,masala,crispy,indian,side_dish,appetizer,tangy"
Plain Yogurt (Dahi),Fresh plain curd,70,Accompaniment,Taste of Bengal,Kolkata,4.4,Veg,0,"veg,accompaniment,yogurt,dahi,plain,curd,indian,cooling,healthy,side_dish"
Mint Chutney,Refreshing chutney made with mint coriander and spices,30,Accompaniment,Tandoor Delights,Kolkata,4.5,Veg,0,"veg,accompaniment,chutney,mint,indian,refreshing,condiment,tandoori_pairing,spicy_mild"
Tamarind Chutney,Sweet and tangy chutney made from tamarind,30,Accompaniment,Chai & Chaat Corner,Kolkata,4.4,Veg,0,"veg,accompaniment,chutney,tamarind,indian,sweet_tangy,condiment,chaat_pairing"
Mixed Pickle,Assorted vegetable pickle,40,Accompaniment,The Royal Platter,Kolkata,4.2,Veg,0,"veg,accompaniment,pickle,achar,indian,spicy,tangy,condiment"
Gulab Jamun (2 pcs),Deep-fried milk solids dumplings soaked in sugar syrup,80,Dessert,Sweet Endings,Kolkata,4.8,Veg,0,"veg,dessert,indian,sweet,gulab_jamun,milk_based,syrup,popular,classic,treat,happy_food"
Rasgulla (2 pcs),Spongy cottage cheese balls soaked in light sugar syrup,70,Dessert,Sweet Endings,Kolkata,4.9,Veg,0,"veg,dessert,indian,bengali,sweet,rasgulla,chenna_based,spongy,light,popular,classic,treat,happy_food"
Mishti Doi,Sweet fermented yogurt a Bengali specialty,60,Dessert,Sweet Endings,Kolkata,4.9,Veg,5,"veg,dessert,indian,bengali,sweet,mishti_doi,yogurt_based,fermented,classic,popular,treat,cooling"
Sandesh (2 pcs),Traditional Bengali sweet made from fresh paneer (chhena) and sugar,80,Dessert,Sweet Endings,Kolkata,4.7,Veg,0,"veg,dessert,indian,bengali,sweet,sandesh,chenna_based,milk_based,classic,delicate"
Jalebi (100g),Crispy deep-fried spirals soaked in sugar syrup,90,Dessert,Sweet Endings,Kolkata,4.6,Veg,0,"veg,dessert,indian,sweet,jalebi,fried,crispy,syrup,popular,street_food,treat"
Kulfi (Pista/Malai),Traditional Indian frozen dessert creamy and rich,100,Dessert,Kulfi Corner,Kolkata,4.5,Veg,0,"veg,dessert,indian,sweet,kulfi,frozen_dessert,creamy,rich,pista,malai,summer_treat,classic"
Gajar Ka Halwa,Sweet carrot pudding made with milk sugar and ghee,120,Dessert,Sweet Endings,Kolkata,4.7,Veg,10,"veg,dessert,indian,sweet,gajar_halwa,carrot_based,milk_based,rich,winter_special,warm,comfort_food"
Moong Dal Halwa,Rich dessert made from moong lentils ghee and sugar,150,Dessert,The Royal Platter,Kolkata,4.6,Veg,0,"veg,dessert,indian,sweet,moong_dal_halwa,lentil_based,rich,ghee,winter_special,warm"
Vanilla Ice Cream (2 scoops),Classic vanilla flavored ice cream,90,Dessert,Cafe Central,Kolkata,4.3,Veg,0,"veg,dessert,ice_cream,vanilla,cold,sweet,classic,kids_favorite,summer_treat,treat,happy_food"
Chocolate Ice Cream (2 scoops),Rich chocolate flavored ice cream,100,Dessert,Cafe Central,Kolkata,4.4,Veg,0,"veg,dessert,ice_cream,chocolate,cold,sweet,rich,kids_favorite,summer_treat,treat,happy_food"
Brownie with Ice Cream,Warm chocolate brownie served with a scoop of vanilla ice cream,180,Dessert,Cafe Central,Kolkata,4.6,Veg,5,"veg,dessert,brownie,chocolate,ice_cream,warm,cold,sweet,rich,indulgent,popular,treat,happy_food"
Firni,Creamy rice pudding flavored with cardamom and saffron,100,Dessert,Mughlai Dastarkhwan,Kolkata,4.5,Veg,0,"veg,dessert,indian,mughlai,sweet,firni,rice_pudding,creamy,saffron,cardamom,delicate"
Fresh Lime Soda (Sweet/Salted),Refreshing drink with lemon juice soda sugar/salt,70,Beverage,Refreshments Hub,Kolkata,4.5,Veg,0,"veg,beverage,drink,refreshing,cold,lime,soda,summer_drink,light,sunny_day_drink,tangy"
Masala Chai,Spiced Indian tea with milk,80,Beverage,Chai & Chaat Corner,Kolkata,4.7,Veg,0,"veg,beverage,drink,hot,warm,tea,chai,indian,spiced_tea,milk_tea,comfort_drink,rainy_day_drink,cozy,popular,chai_pairing"
Filter Coffee,South Indian style brewed coffee,90,Beverage,Cafe Central,Kolkata,4.6,Veg,0,"veg,beverage,drink,hot,warm,coffee,filter_coffee,south_indian,strong,morning_drink,cozy"
Sweet Lassi,Sweetened yogurt-based drink,100,Beverage,Refreshments Hub,Kolkata,4.6,Veg,0,"veg,beverage,drink,cold,lassi,yogurt_based,indian,sweet,refreshing,summer_drink,creamy,filling"
Salted Lassi,Salted yogurt-based drink with roasted cumin,90,Beverage,Refreshments Hub,Kolkata,4.4,Veg,0,"veg,beverage,drink,cold,lassi,yogurt_based,indian,salted,refreshing,summer_drink,savory,digestive"
Mango Lassi,Sweet lassi flavored with mango pulp,120,Beverage,Refreshments Hub,Kolkata,4.7,Veg,5,"veg,beverage,drink,cold,lassi,yogurt_based,indian,sweet,mango,fruit,refreshing,summer_drink,creamy,popular,treat"
Jaljeera,Spicy and tangy cumin-flavored Indian drink,60,Beverage,Refreshments Hub,Kolkata,4.3,Veg,0,"veg,beverage,drink,cold,indian,jaljeera,spicy,tangy,cumin,digestive,refreshing,summer_drink"
Aam Panna,Refreshing raw mango drink (seasonal),80,Beverage,Refreshments Hub,Kolkata,4.5,Veg,0,"veg,beverage,drink,cold,indian,aam_panna,raw_mango,refreshing,summer_drink,tangy,seasonal"
Bottled Mineral Water (1L),Packaged drinking water,30,Beverage,Any Restaurant,Kolkata,4.0,Veg,0,"veg,beverage,drink,water,bottled_water,plain,essential"
Coca-Cola (300ml),Carbonated soft drink,40,Beverage,Any Restaurant,Kolkata,4.1,Veg,0,"veg,beverage,drink,cold,soft_drink,cola,carbonated,popular,refreshing"
Pepsi (300ml),Carbonated soft drink,40,Beverage,Any Restaurant,Kolkata,4.1,Veg,0,"veg,beverage,drink,cold,soft_drink,cola,carbonated,popular,refreshing"
Sprite (300ml),Lemon-lime flavored soft drink,40,Beverage,Any Restaurant,Kolkata,4.1,Veg,0,"veg,beverage,drink,cold,soft_drink,lemon_lime,carbonated,popular,refreshing"
Fresh Orange Juice,Freshly squeezed orange juice,150,Beverage,Juice Junction,Kolkata,4.6,Veg,0,"veg,beverage,drink,cold,juice,fresh_juice,orange,fruit,healthy,refreshing,vitamin_c"
Fresh Watermelon Juice,Freshly squeezed watermelon juice,120,Beverage,Juice Junction,Kolkata,4.5,Veg,0,"veg,beverage,drink,cold,juice,fresh_juice,watermelon,fruit,healthy,refreshing,hydrating,summer_drink"
Iced Tea (Lemon/Peach),Chilled tea flavored with lemon or peach,100,Beverage,Cafe Central,Kolkata,4.4,Veg,0,"veg,beverage,drink,cold,tea,iced_tea,lemon,peach,refreshing,summer_drink,light"
Cold Coffee,Chilled coffee blended with milk and ice cream,150,Beverage,Cafe Central,Kolkata,4.5,Veg,5,"veg,beverage,drink,cold,coffee,cold_coffee,milk_based,ice_cream,refreshing,creamy,treat,popular"
Thums Up (300ml),Indian cola soft drink,40,Beverage,Any Restaurant,Kolkata,4.2,Veg,0,"veg,beverage,drink,cold,soft_drink,cola,indian_cola,carbonated,popular,strong_flavor"
Nimbu Pani (Shikanji),Indian lemonade with spices,60,Beverage,Refreshments Hub,Kolkata,4.4,Veg,0,"veg,beverage,drink,cold,indian,lemonade,nimbu_pani,shikanji,refreshing,tangy,spiced,summer_drink"
