Item Name,Description,Price,Type,Cuisine,Restaurant Name,Location,Rating,Veg/Non-Veg,Discount
Chocolate Shake,Rich and creamy chocolate drink.,382,Beverage,American,Restaurant G,Mumbai,3.6,Non-Veg,23% off
Mac and Cheese,Creamy macaroni and cheese dish.,325,Main Course,American,Restaurant C,Delhi,3.6,Non-Veg,6% off
Pancakes,Fluffy breakfast pancakes with syrup.,115,Dessert,American,Restaurant C,Delhi,4.8,Non-Veg,24% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,447,Snack,Indian,Restaurant J,Mumbai,3.6,Non-Veg,25% off
Fajitas,Grilled meat and vegetables served on tortillas.,468,Main Course,Mexican,Restaurant E,Delhi,3.8,Non-Veg,17% off
Milkshake,Thick and creamy milk-based drink.,403,Beverage,American,Restaurant I,Chennai,3.9,Non-Veg,23% off
Fajitas,Grilled meat and vegetables served on tortillas.,426,Main Course,Mexican,Restaurant A,Mumbai,3.6,Non-Veg,11% off
Quesadilla,Grilled tortilla with melted cheese filling.,438,Snack,Mexican,Restaurant C,Delhi,3.9,Non-Veg,7% off
Milkshake,Thick and creamy milk-based drink.,311,Beverage,American,Restaurant I,Hyderabad,3.8,Non-Veg,17% off
Apple Pie,Classic American dessert with spiced apples.,349,Dessert,American,Restaurant G,Delhi,3.6,Non-Veg,28% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",326,Main Course,Mexican,Restaurant E,Mumbai,4.8,Non-Veg,19% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,293,Beverage,American,Restaurant A,Chennai,3.6,Non-Veg,14% off
Paneer Tikka,Grilled paneer with Indian spices.,282,Snack,Indian,Restaurant B,Mumbai,3.3,Veg,24% off
Milkshake,Thick and creamy milk-based drink.,301,Beverage,American,Restaurant D,Bangalore,3.7,Non-Veg,9% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,449,Snack,Indian,Restaurant F,Delhi,3.8,Non-Veg,24% off
Mac and Cheese,Creamy macaroni and cheese dish.,432,Main Course,American,Restaurant G,Mumbai,3.3,Non-Veg,20% off
Enchiladas,Corn tortillas rolled with filling and sauce.,284,Main Course,Mexican,Restaurant H,Chennai,3.3,Non-Veg,17% off
Chicken Biryani,Spicy and flavorful.,254,Main Course,Indian,Restaurant C,Hyderabad,3.4,Non-Veg,14% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",454,Main Course,Mexican,Restaurant A,Chennai,3.6,Non-Veg,17% off
Hot Dog,Sausage served in a sliced bun.,320,Snack,American,Restaurant I,Mumbai,3.4,Non-Veg,7% off
Lassi,Sweet yogurt-based drink.,227,Beverage,Indian,Restaurant A,Bangalore,3.3,Non-Veg,18% off
Pancakes,Fluffy breakfast pancakes with syrup.,291,Dessert,American,Restaurant B,Chennai,3.9,Non-Veg,19% off
Masala Dosa,South Indian rice pancake with masala.,337,Snack,Indian,Restaurant E,Mumbai,3.7,Non-Veg,5% off
Apple Pie,Classic American dessert with spiced apples.,100,Dessert,American,Restaurant G,Hyderabad,3.9,Non-Veg,23% off
Paneer Tikka,Grilled paneer with Indian spices.,133,Snack,Indian,Restaurant B,Chennai,3.9,Veg,29% off
Cheeseburger,Juicy beef patty with melted cheese.,414,Main Course,American,Restaurant B,Delhi,3.9,Non-Veg,8% off
Cheeseburger,Juicy beef patty with melted cheese.,137,Main Course,American,Restaurant I,Hyderabad,4.8,Non-Veg,23% off
Chicken Biryani,Spicy and flavorful.,474,Main Course,Indian,Restaurant C,Hyderabad,3.9,Non-Veg,24% off
Guacamole,Mashed avocado dip with lime and salt.,474,Snack,Mexican,Restaurant B,Hyderabad,3.9,Non-Veg,28% off
Apple Pie,Classic American dessert with spiced apples.,489,Dessert,American,Restaurant D,Mumbai,3.3,Non-Veg,21% off
Dal Tadka,Yellow lentils tempered with spices.,447,Main Course,Indian,Restaurant E,Hyderabad,3.8,Non-Veg,8% off
Mexican Rice,Rice cooked with tomatoes and spices.,336,Main Course,Mexican,Restaurant C,Chennai,3.9,Non-Veg,20% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,281,Beverage,American,Restaurant A,Delhi,3.9,Non-Veg,15% off
Apple Pie,Classic American dessert with spiced apples.,207,Dessert,American,Restaurant F,Mumbai,3.7,Non-Veg,29% off
Apple Pie,Classic American dessert with spiced apples.,464,Dessert,American,Restaurant C,Hyderabad,3.3,Non-Veg,30% off
Enchiladas,Corn tortillas rolled with filling and sauce.,476,Main Course,Mexican,Restaurant I,Bangalore,3.9,Non-Veg,8% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,125,Beverage,American,Restaurant D,Chennai,4.8,Non-Veg,9% off
Fajitas,Grilled meat and vegetables served on tortillas.,482,Main Course,Mexican,Restaurant B,Delhi,3.9,Non-Veg,27% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",422,Main Course,Mexican,Restaurant F,Hyderabad,3.3,Non-Veg,25% off
Tacos,Corn tortilla filled with meat and veggies.,348,Snack,Mexican,Restaurant E,Delhi,3.8,Non-Veg,12% off
Paneer Tikka,Grilled paneer with Indian spices.,373,Snack,Indian,Restaurant G,Hyderabad,3.8,Veg,10% off
Chocolate Shake,Rich and creamy chocolate drink.,403,Beverage,American,Restaurant H,Delhi,3.9,Non-Veg,5% off
Fajitas,Grilled meat and vegetables served on tortillas.,287,Main Course,Mexican,Restaurant J,Chennai,3.6,Non-Veg,24% off
Hot Dog,Sausage served in a sliced bun.,147,Snack,American,Restaurant C,Bangalore,3.7,Non-Veg,13% off
Chocolate Shake,Rich and creamy chocolate drink.,361,Beverage,American,Restaurant F,Mumbai,3.9,Non-Veg,23% off
Masala Dosa,South Indian rice pancake with masala.,164,Snack,Indian,Restaurant I,Hyderabad,3.8,Non-Veg,23% off
Hot Dog,Sausage served in a sliced bun.,151,Snack,American,Restaurant E,Delhi,3.9,Non-Veg,27% off
Samosa,Crispy fried pastry filled with spiced potatoes.,165,Snack,Indian,Restaurant H,Mumbai,3.3,Non-Veg,15% off
Enchiladas,Corn tortillas rolled with filling and sauce.,220,Main Course,Mexican,Restaurant J,Bangalore,3.7,Non-Veg,5% off
Churros,Fried dough pastry dusted with sugar.,284,Dessert,Mexican,Restaurant J,Hyderabad,3.9,Non-Veg,10% off
Chicken Biryani,Spicy and flavorful.,367,Main Course,Indian,Restaurant A,Hyderabad,3.9,Non-Veg,30% off
Cheeseburger,Juicy beef patty with melted cheese.,364,Main Course,American,Restaurant B,Chennai,4.8,Non-Veg,6% off
Enchiladas,Corn tortillas rolled with filling and sauce.,327,Main Course,Mexican,Restaurant F,Chennai,4.8,Non-Veg,25% off
Masala Dosa,South Indian rice pancake with masala.,499,Snack,Indian,Restaurant I,Hyderabad,3.3,Non-Veg,13% off
Churros,Fried dough pastry dusted with sugar.,493,Dessert,Mexican,Restaurant F,Chennai,3.7,Non-Veg,9% off
Samosa,Crispy fried pastry filled with spiced potatoes.,197,Snack,Indian,Restaurant I,Bangalore,3.9,Non-Veg,7% off
Cheeseburger,Juicy beef patty with melted cheese.,363,Main Course,American,Restaurant H,Bangalore,3.9,Non-Veg,17% off
Guacamole,Mashed avocado dip with lime and salt.,395,Snack,Mexican,Restaurant G,Chennai,3.9,Non-Veg,14% off
Enchiladas,Corn tortillas rolled with filling and sauce.,138,Main Course,Mexican,Restaurant B,Mumbai,3.8,Non-Veg,13% off
Pancakes,Fluffy breakfast pancakes with syrup.,182,Dessert,American,Restaurant H,Bangalore,3.3,Non-Veg,20% off
Veg Biryani,Made with aromatic basmati rice.,476,Main Course,Indian,Restaurant G,Hyderabad,3.9,Veg,6% off
Chicken Burger,Crispy chicken patty in a bun.,150,Snack,American,Restaurant D,Bangalore,3.6,Non-Veg,27% off
Masala Dosa,South Indian rice pancake with masala.,412,Snack,Indian,Restaurant J,Hyderabad,3.8,Non-Veg,7% off
Mexican Rice,Rice cooked with tomatoes and spices.,355,Main Course,Mexican,Restaurant J,Chennai,3.6,Non-Veg,10% off
Pancakes,Fluffy breakfast pancakes with syrup.,124,Dessert,American,Restaurant D,Delhi,3.4,Non-Veg,27% off
Masala Dosa,South Indian rice pancake with masala.,217,Snack,Indian,Restaurant B,Delhi,3.7,Non-Veg,20% off
Fajitas,Grilled meat and vegetables served on tortillas.,384,Main Course,Mexican,Restaurant J,Bangalore,3.4,Non-Veg,12% off
Chicken Burger,Crispy chicken patty in a bun.,129,Snack,American,Restaurant A,Hyderabad,3.9,Non-Veg,20% off
French Fries,"Golden, crispy fried potatoes.",175,Snack,American,Restaurant H,Mumbai,3.3,Non-Veg,20% off
Margarita,Refreshing lime and tequila cocktail.,219,Beverage,Mexican,Restaurant A,Chennai,3.3,Non-Veg,27% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,266,Beverage,American,Restaurant A,Hyderabad,3.9,Non-Veg,12% off
Paneer Tikka,Grilled paneer with Indian spices.,494,Snack,Indian,Restaurant C,Chennai,3.3,Veg,14% off
Pancakes,Fluffy breakfast pancakes with syrup.,203,Dessert,American,Restaurant B,Mumbai,3.4,Non-Veg,16% off
Mac and Cheese,Creamy macaroni and cheese dish.,349,Main Course,American,Restaurant I,Chennai,4.8,Non-Veg,21% off
Mac and Cheese,Creamy macaroni and cheese dish.,424,Main Course,American,Restaurant E,Delhi,3.6,Non-Veg,25% off
Masala Dosa,South Indian rice pancake with masala.,489,Snack,Indian,Restaurant H,Delhi,3.7,Non-Veg,11% off
Fajitas,Grilled meat and vegetables served on tortillas.,167,Main Course,Mexican,Restaurant E,Delhi,3.6,Non-Veg,28% off
Butter Naan,Soft bread with butter.,378,Main Course,Indian,Restaurant H,Hyderabad,4.8,Non-Veg,5% off
Hot Dog,Sausage served in a sliced bun.,414,Snack,American,Restaurant C,Mumbai,3.6,Non-Veg,14% off
Fajitas,Grilled meat and vegetables served on tortillas.,129,Main Course,Mexican,Restaurant J,Mumbai,3.4,Non-Veg,21% off
Paneer Tikka,Grilled paneer with Indian spices.,182,Snack,Indian,Restaurant I,Hyderabad,3.3,Veg,30% off
Masala Dosa,South Indian rice pancake with masala.,486,Snack,Indian,Restaurant J,Bangalore,3.3,Non-Veg,13% off
Masala Dosa,South Indian rice pancake with masala.,495,Snack,Indian,Restaurant J,Bangalore,3.7,Non-Veg,19% off
French Fries,"Golden, crispy fried potatoes.",255,Snack,American,Restaurant B,Bangalore,3.4,Non-Veg,17% off
Chicken Biryani,Spicy and flavorful.,413,Main Course,Indian,Restaurant A,Mumbai,3.3,Non-Veg,27% off
Fajitas,Grilled meat and vegetables served on tortillas.,400,Main Course,Mexican,Restaurant C,Hyderabad,3.9,Non-Veg,17% off
Churros,Fried dough pastry dusted with sugar.,422,Dessert,Mexican,Restaurant H,Bangalore,3.4,Non-Veg,21% off
Lassi,Sweet yogurt-based drink.,274,Beverage,Indian,Restaurant G,Delhi,3.7,Non-Veg,5% off
Paneer Tikka,Grilled paneer with Indian spices.,129,Snack,Indian,Restaurant C,Delhi,3.3,Veg,12% off
Paneer Tikka,Grilled paneer with Indian spices.,339,Snack,Indian,Restaurant G,Hyderabad,3.7,Veg,6% off
Butter Naan,Soft bread with butter.,305,Main Course,Indian,Restaurant F,Delhi,3.4,Non-Veg,30% off
Fish Curry,Fish cooked in coconut milk.,363,Main Course,Indian,Restaurant J,Mumbai,3.4,Non-Veg,5% off
Fajitas,Grilled meat and vegetables served on tortillas.,454,Main Course,Mexican,Restaurant C,Chennai,3.3,Non-Veg,17% off
Hot Dog,Sausage served in a sliced bun.,249,Snack,American,Restaurant F,Mumbai,3.6,Non-Veg,23% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,474,Beverage,American,Restaurant I,Mumbai,3.9,Non-Veg,13% off
Apple Pie,Classic American dessert with spiced apples.,356,Dessert,American,Restaurant J,Mumbai,3.6,Non-Veg,6% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,442,Beverage,American,Restaurant F,Bangalore,3.7,Non-Veg,24% off
Butter Naan,Soft bread with butter.,145,Main Course,Indian,Restaurant F,Hyderabad,3.8,Non-Veg,20% off
Pancakes,Fluffy breakfast pancakes with syrup.,110,Dessert,American,Restaurant A,Chennai,3.6,Non-Veg,15% off
Masala Dosa,South Indian rice pancake with masala.,325,Snack,Indian,Restaurant G,Delhi,3.8,Non-Veg,23% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,456,Beverage,American,Restaurant D,Hyderabad,3.4,Non-Veg,28% off
Mac and Cheese,Creamy macaroni and cheese dish.,283,Main Course,American,Restaurant I,Bangalore,3.6,Non-Veg,22% off
Chicken Burger,Crispy chicken patty in a bun.,278,Snack,American,Restaurant A,Hyderabad,3.4,Non-Veg,12% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,346,Snack,Indian,Restaurant I,Mumbai,3.3,Non-Veg,29% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,434,Beverage,American,Restaurant E,Bangalore,3.6,Non-Veg,21% off
Chicken Burger,Crispy chicken patty in a bun.,356,Snack,American,Restaurant D,Mumbai,3.6,Non-Veg,20% off
Veg Biryani,Made with aromatic basmati rice.,271,Main Course,Indian,Restaurant D,Bangalore,4.8,Veg,14% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",152,Main Course,Mexican,Restaurant J,Delhi,3.7,Non-Veg,16% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",418,Main Course,Mexican,Restaurant C,Bangalore,3.3,Non-Veg,16% off
Fajitas,Grilled meat and vegetables served on tortillas.,279,Main Course,Mexican,Restaurant J,Bangalore,3.6,Non-Veg,7% off
Paneer Tikka,Grilled paneer with Indian spices.,302,Snack,Indian,Restaurant D,Bangalore,3.8,Veg,11% off
Apple Pie,Classic American dessert with spiced apples.,500,Dessert,American,Restaurant J,Hyderabad,3.9,Non-Veg,18% off
Masala Dosa,South Indian rice pancake with masala.,210,Snack,Indian,Restaurant F,Chennai,3.9,Non-Veg,29% off
Apple Pie,Classic American dessert with spiced apples.,322,Dessert,American,Restaurant I,Chennai,3.9,Non-Veg,24% off
Hot Dog,Sausage served in a sliced bun.,228,Snack,American,Restaurant J,Chennai,3.6,Non-Veg,11% off
Cheeseburger,Juicy beef patty with melted cheese.,139,Main Course,American,Restaurant J,Chennai,3.7,Non-Veg,10% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",282,Main Course,Mexican,Restaurant J,Hyderabad,3.8,Non-Veg,9% off
Cheeseburger,Juicy beef patty with melted cheese.,406,Main Course,American,Restaurant A,Mumbai,3.8,Non-Veg,23% off
French Fries,"Golden, crispy fried potatoes.",386,Snack,American,Restaurant C,Bangalore,3.6,Non-Veg,11% off
Lassi,Sweet yogurt-based drink.,162,Beverage,Indian,Restaurant H,Bangalore,3.9,Non-Veg,24% off
Masala Dosa,South Indian rice pancake with masala.,394,Snack,Indian,Restaurant G,Hyderabad,3.9,Non-Veg,14% off
Butter Naan,Soft bread with butter.,107,Main Course,Indian,Restaurant F,Mumbai,3.6,Non-Veg,8% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",372,Main Course,Mexican,Restaurant G,Hyderabad,3.7,Non-Veg,30% off
Paneer Tikka,Grilled paneer with Indian spices.,476,Snack,Indian,Restaurant A,Hyderabad,3.8,Veg,20% off
Churros,Fried dough pastry dusted with sugar.,463,Dessert,Mexican,Restaurant A,Chennai,3.3,Non-Veg,21% off
Tacos,Corn tortilla filled with meat and veggies.,480,Snack,Mexican,Restaurant B,Chennai,3.4,Non-Veg,21% off
Tacos,Corn tortilla filled with meat and veggies.,339,Snack,Mexican,Restaurant H,Chennai,3.3,Non-Veg,25% off
Cheeseburger,Juicy beef patty with melted cheese.,206,Main Course,American,Restaurant I,Bangalore,3.6,Non-Veg,13% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,428,Beverage,American,Restaurant J,Hyderabad,3.6,Non-Veg,16% off
Tacos,Corn tortilla filled with meat and veggies.,420,Snack,Mexican,Restaurant G,Mumbai,4.8,Non-Veg,24% off
Quesadilla,Grilled tortilla with melted cheese filling.,420,Snack,Mexican,Restaurant E,Chennai,3.3,Non-Veg,23% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,284,Beverage,American,Restaurant C,Hyderabad,3.6,Non-Veg,19% off
Mac and Cheese,Creamy macaroni and cheese dish.,130,Main Course,American,Restaurant C,Mumbai,3.3,Non-Veg,26% off
Mexican Rice,Rice cooked with tomatoes and spices.,342,Main Course,Mexican,Restaurant B,Bangalore,3.9,Non-Veg,9% off
French Fries,"Golden, crispy fried potatoes.",252,Snack,American,Restaurant A,Hyderabad,3.3,Non-Veg,28% off
Mexican Rice,Rice cooked with tomatoes and spices.,224,Main Course,Mexican,Restaurant F,Mumbai,3.9,Non-Veg,15% off
Enchiladas,Corn tortillas rolled with filling and sauce.,434,Main Course,Mexican,Restaurant G,Hyderabad,3.8,Non-Veg,21% off
Apple Pie,Classic American dessert with spiced apples.,404,Dessert,American,Restaurant E,Hyderabad,3.6,Non-Veg,27% off
Churros,Fried dough pastry dusted with sugar.,201,Dessert,Mexican,Restaurant D,Chennai,3.3,Non-Veg,28% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,238,Snack,Indian,Restaurant J,Bangalore,3.4,Non-Veg,30% off
Apple Pie,Classic American dessert with spiced apples.,105,Dessert,American,Restaurant G,Mumbai,3.7,Non-Veg,18% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",116,Main Course,Mexican,Restaurant I,Chennai,3.4,Non-Veg,12% off
Enchiladas,Corn tortillas rolled with filling and sauce.,259,Main Course,Mexican,Restaurant E,Chennai,3.6,Non-Veg,7% off
Chicken Burger,Crispy chicken patty in a bun.,243,Snack,American,Restaurant A,Bangalore,3.3,Non-Veg,8% off
Veg Biryani,Made with aromatic basmati rice.,273,Main Course,Indian,Restaurant E,Chennai,3.6,Veg,23% off
Veg Biryani,Made with aromatic basmati rice.,494,Main Course,Indian,Restaurant E,Bangalore,4.8,Veg,15% off
Fish Curry,Fish cooked in coconut milk.,449,Main Course,Indian,Restaurant E,Mumbai,3.3,Non-Veg,17% off
Churros,Fried dough pastry dusted with sugar.,293,Dessert,Mexican,Restaurant B,Bangalore,3.6,Non-Veg,7% off
Chocolate Shake,Rich and creamy chocolate drink.,159,Beverage,American,Restaurant B,Bangalore,3.6,Non-Veg,29% off
Butter Naan,Soft bread with butter.,465,Main Course,Indian,Restaurant C,Mumbai,3.6,Non-Veg,23% off
Apple Pie,Classic American dessert with spiced apples.,154,Dessert,American,Restaurant F,Delhi,4.8,Non-Veg,8% off
Veg Biryani,Made with aromatic basmati rice.,453,Main Course,Indian,Restaurant G,Delhi,3.6,Veg,29% off
Chocolate Shake,Rich and creamy chocolate drink.,438,Beverage,American,Restaurant F,Delhi,3.9,Non-Veg,19% off
Milkshake,Thick and creamy milk-based drink.,276,Beverage,American,Restaurant G,Mumbai,3.7,Non-Veg,16% off
Quesadilla,Grilled tortilla with melted cheese filling.,394,Snack,Mexican,Restaurant F,Hyderabad,3.7,Non-Veg,7% off
French Fries,"Golden, crispy fried potatoes.",249,Snack,American,Restaurant H,Mumbai,3.9,Non-Veg,26% off
Masala Dosa,South Indian rice pancake with masala.,443,Snack,Indian,Restaurant G,Hyderabad,3.4,Non-Veg,19% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,485,Snack,Indian,Restaurant I,Bangalore,4.8,Non-Veg,23% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",216,Main Course,Mexican,Restaurant A,Bangalore,4.8,Non-Veg,22% off
Lassi,Sweet yogurt-based drink.,451,Beverage,Indian,Restaurant I,Mumbai,4.8,Non-Veg,24% off
Samosa,Crispy fried pastry filled with spiced potatoes.,310,Snack,Indian,Restaurant G,Bangalore,3.8,Non-Veg,11% off
Quesadilla,Grilled tortilla with melted cheese filling.,382,Snack,Mexican,Restaurant I,Chennai,3.3,Non-Veg,13% off
Mac and Cheese,Creamy macaroni and cheese dish.,270,Main Course,American,Restaurant I,Chennai,3.9,Non-Veg,21% off
Dal Tadka,Yellow lentils tempered with spices.,404,Main Course,Indian,Restaurant F,Hyderabad,3.4,Non-Veg,15% off
Fish Curry,Fish cooked in coconut milk.,278,Main Course,Indian,Restaurant D,Hyderabad,3.8,Non-Veg,18% off
Cheeseburger,Juicy beef patty with melted cheese.,182,Main Course,American,Restaurant H,Bangalore,3.9,Non-Veg,28% off
Samosa,Crispy fried pastry filled with spiced potatoes.,387,Snack,Indian,Restaurant F,Bangalore,4.8,Non-Veg,22% off
Nachos,Tortilla chips topped with melted cheese and salsa.,463,Snack,Mexican,Restaurant E,Mumbai,3.9,Non-Veg,27% off
Cheeseburger,Juicy beef patty with melted cheese.,197,Main Course,American,Restaurant B,Mumbai,3.3,Non-Veg,22% off
Mac and Cheese,Creamy macaroni and cheese dish.,275,Main Course,American,Restaurant H,Chennai,3.9,Non-Veg,11% off
Lassi,Sweet yogurt-based drink.,342,Beverage,Indian,Restaurant B,Bangalore,4.8,Non-Veg,29% off
Mac and Cheese,Creamy macaroni and cheese dish.,172,Main Course,American,Restaurant J,Delhi,3.8,Non-Veg,6% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,318,Beverage,American,Restaurant G,Mumbai,3.6,Non-Veg,26% off
Veg Biryani,Made with aromatic basmati rice.,140,Main Course,Indian,Restaurant G,Mumbai,3.9,Veg,11% off
Fish Curry,Fish cooked in coconut milk.,489,Main Course,Indian,Restaurant A,Delhi,3.6,Non-Veg,20% off
Tacos,Corn tortilla filled with meat and veggies.,224,Snack,Mexican,Restaurant B,Delhi,4.8,Non-Veg,20% off
Guacamole,Mashed avocado dip with lime and salt.,179,Snack,Mexican,Restaurant D,Chennai,3.3,Non-Veg,14% off
Tacos,Corn tortilla filled with meat and veggies.,385,Snack,Mexican,Restaurant J,Mumbai,3.3,Non-Veg,6% off
Tacos,Corn tortilla filled with meat and veggies.,306,Snack,Mexican,Restaurant D,Mumbai,3.8,Non-Veg,30% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",277,Main Course,Mexican,Restaurant G,Chennai,3.9,Non-Veg,20% off
Fish Curry,Fish cooked in coconut milk.,332,Main Course,Indian,Restaurant I,Delhi,3.4,Non-Veg,13% off
Enchiladas,Corn tortillas rolled with filling and sauce.,376,Main Course,Mexican,Restaurant H,Mumbai,3.3,Non-Veg,15% off
Guacamole,Mashed avocado dip with lime and salt.,290,Snack,Mexican,Restaurant C,Delhi,3.7,Non-Veg,10% off
Butter Naan,Soft bread with butter.,158,Main Course,Indian,Restaurant A,Mumbai,3.9,Non-Veg,19% off
Guacamole,Mashed avocado dip with lime and salt.,396,Snack,Mexican,Restaurant F,Hyderabad,3.3,Non-Veg,14% off
